id	entry	check	category	status	value
PORT-bully2-001-canonical-id	bully2	001-canonical-id	identity	recorded	bully2
PORT-bully2-002-title	bully2	002-title	identity	recorded	Bully: Anniversary Edition
PORT-bully2-003-support-scope	bully2	003-support-scope	classification	recorded	historical-delisted-local-limited
PORT-bully2-004-publication	bully2	004-publication	classification	recorded	official-PortMaster-delisted
PORT-bully2-005-positive-reference	bully2	005-positive-reference	classification	recorded	true
PORT-bully2-006-local-path	bully2	006-local-path	source	recorded	ports/bully2
PORT-bully2-007-remote-url	bully2	007-remote-url	source	recorded	https://github.com/PortsMaster/PortMaster-New/commit/e69716411222beb1dde6fc604f8180cb87ecd959
PORT-bully2-008-source-snapshot	bully2	008-source-snapshot	source	recorded	76aefd102e00e7ba0f60a2c5a4687154060e9425 local; last listed PortMaster tree parent fac0bde172bb1ec3d214d276bb35cd577b677d8d
PORT-bully2-009-release-tag	bully2	009-release-tag	release	recorded	historical PortMaster listing 2026-07-14 to 2026-07-22
PORT-bully2-010-release-commit	bully2	010-release-commit	release	recorded	delisted by 79561e7a05d377c4479c9ee42a635ae2bec72b73
PORT-bully2-011-release-asset	bully2	011-release-asset	release	recorded	local v11 handoff named Bully v11.zip
PORT-bully2-012-release-sha256	bully2	012-release-sha256	release	recorded	5475249ceb387893f3e5d3099522f595037738a7b62c349bb0d8387b69541711
PORT-bully2-013-data-policy	bully2	013-data-policy	data	recorded	BYO APK/OBB only
PORT-bully2-014-package-identity	bully2	014-package-identity	data	recorded	Bully Android 1.4.311 ARM64 plus matching main/patch OBB
PORT-bully2-015-version-rule	bully2	015-version-rule	data	recorded	exact-version data and loader guards
PORT-bully2-016-transactional-install	bully2	016-transactional-install	data	recorded	local v11 extractor existed, but clean user first-boot flow remained pending and public instructions were ambiguous
PORT-bully2-017-guest-abi	bully2	017-guest-abi	abi	recorded	Android AArch64
PORT-bully2-018-host-abi	bully2	018-host-abi	abi	recorded	Linux AArch64
PORT-bully2-019-elf-class	bully2	019-elf-class	abi	recorded	ELF64
PORT-bully2-020-float-abi	bully2	020-float-abi	abi	recorded	AAPCS64
PORT-bully2-021-interpreter	bully2	021-interpreter	abi	recorded	host AArch64 dynamic loader
PORT-bully2-022-glibc-ceiling	bully2	022-glibc-ceiling	abi	recorded	low-glibc loader path validated; exact public artifact no longer current
PORT-bully2-023-loader-family	bully2	023-loader-family	loader	recorded	Rockstar War Drum/GameNative AArch64 so-loader
PORT-bully2-024-init-array	bully2	024-init-array	loader	recorded	native constructors required
PORT-bully2-025-jni-onload	bully2	025-jni-onload	loader	recorded	registration and native callbacks retained
PORT-bully2-026-native-lifecycle	bully2	026-native-lifecycle	loader	recorded	runtime mechanics useful; first-run product flow not fully closed
PORT-bully2-027-video-ownership	bully2	027-video-ownership	video	recorded	Mali fbdev versus KMSDRM behavior measured
PORT-bully2-028-backend-detection	bully2	028-backend-detection	video	recorded	capability/memory profiles
PORT-bully2-029-gles-probe	bully2	029-gles-probe	video	recorded	GLES2/Mali route
PORT-bully2-030-drawable-size	bully2	030-drawable-size	video	recorded	real target path
PORT-bully2-031-video-fix-scope	bully2	031-video-fix-scope	video	recorded	Rockstar offsets, render scale and shadows remain exact-version/device-specific
PORT-bully2-032-native-audio-first	bully2	032-native-audio-first	audio	recorded	game/OpenAL path
PORT-bully2-033-audio-fallback-condition	bully2	033-audio-fallback-condition	audio	recorded	output and timing fixes remain Bully-specific
PORT-bully2-034-realtime-safety	bully2	034-realtime-safety	audio	recorded	no universal conclusion from local runtime
PORT-bully2-035-portmaster-mapping	bully2	035-portmaster-mapping	input	recorded	PortMaster parser compatibility and contained device signatures
